"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 20 05:20:28 GMT 2023","Thu Apr 20 05:20:46 GMT 2023","18636","Tests","test_temprory_worker","","","","test_TemporaryWorkerDeleteLast",""
"passed","Thu Apr 20 05:22:43 GMT 2023","Thu Apr 20 05:22:46 GMT 2023","2909","Tests","test_users","","","","test_UserCheckNecessaryButtonsClickAble",""
"failed","Thu Apr 20 05:21:24 GMT 2023","Thu Apr 20 05:21:55 GMT 2023","31125","Tests","test_temprory_worker","","","","test_TemporaryWorkerDeleteFirst",""
"passed","Thu Apr 20 05:22:47 GMT 2023","Thu Apr 20 05:22:50 GMT 2023","2832","Tests","test_users","","","","test_UserCheckNecessaryButtonsVisible",""
"passed","Thu Apr 20 05:22:39 GMT 2023","Thu Apr 20 05:22:42 GMT 2023","3230","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckNecessaryButtonsClickAble",""
"passed","Thu Apr 20 05:21:56 GMT 2023","Thu Apr 20 05:22:19 GMT 2023","22584","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckExportButtonDownloadsCSVFile",""
"passed","Thu Apr 20 05:22:20 GMT 2023","Thu Apr 20 05:22:38 GMT 2023","17771","Tests","test_users","","","","test_UsersCheckExportButtonDownloadsCSVFile",""
