"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 20 05:39:18 GMT 2023","Thu Apr 20 05:39:38 GMT 2023","19614","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckExportButtonDownloadsCSVFile",""
"broken","Thu Apr 20 05:38:45 GMT 2023","Thu Apr 20 05:39:02 GMT 2023","16207","Tests","test_temprory_worker","","","","test_TemporaryWorkerDeleteLast",""
"passed","Thu Apr 20 05:39:39 GMT 2023","Thu Apr 20 05:39:55 GMT 2023","16237","Tests","test_users","","","","test_UsersCheckExportButtonDownloadsCSVFile",""
"passed","Thu Apr 20 05:39:59 GMT 2023","Thu Apr 20 05:40:02 GMT 2023","2319","Tests","test_users","","","","test_UserCheckNecessaryButtonsClickAble",""
"passed","Thu Apr 20 05:39:03 GMT 2023","Thu Apr 20 05:39:17 GMT 2023","14579","Tests","test_temprory_worker","","","","test_TemporaryWorkerDeleteFirst",""
"passed","Thu Apr 20 05:40:03 GMT 2023","Thu Apr 20 05:40:05 GMT 2023","2605","Tests","test_users","","","","test_UserCheckNecessaryButtonsVisible",""
"passed","Thu Apr 20 05:39:56 GMT 2023","Thu Apr 20 05:39:58 GMT 2023","1981","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckNecessaryButtonsClickAble",""
