"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 20 08:16:41 GMT 2023","Thu Apr 20 08:16:46 GMT 2023","4722","Tests","test_users","","","","test_UsersScreenNavigation",""
"failed","Thu Apr 20 08:12:07 GMT 2023","Thu Apr 20 08:12:26 GMT 2023","19586","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckExportButtonDownloadsCSVFile",""
"passed","Thu Apr 20 08:13:29 GMT 2023","Thu Apr 20 08:13:31 GMT 2023","1998","Tests","test_users","","","","test_UserCheckNecessaryButtonsVisible",""
"passed","Thu Apr 20 08:15:08 GMT 2023","Thu Apr 20 08:15:14 GMT 2023","6387","Tests","test_temprory_worker","","","","test_TemporaryWorkerMandatoryFields",""
"passed","Thu Apr 20 08:19:48 GMT 2023","Thu Apr 20 08:19:59 GMT 2023","11070","Tests","test_users","","","","test_verifyEditFormShowingChangesSavedSuccessWhenSubmittingFormWithoutChanges",""
"passed","Thu Apr 20 08:21:39 GMT 2023","Thu Apr 20 08:21:45 GMT 2023","6248","Tests","test_users","","","","test_AddNewUserAndVerify",""
"passed","Thu Apr 20 08:16:35 GMT 2023","Thu Apr 20 08:16:40 GMT 2023","4867","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckNecessaryButtonsVisible",""
"broken","Thu Apr 20 08:18:44 GMT 2023","Thu Apr 20 08:19:03 GMT 2023","19727","Tests","test_users","","","","test_UserDeleteLastAndVerify",""
"passed","Thu Apr 20 08:17:42 GMT 2023","Thu Apr 20 08:17:44 GMT 2023","1977","Tests","test_users","","","","test_UsersNavigateToUsersForApprovalPage",""
"passed","Thu Apr 20 08:19:43 GMT 2023","Thu Apr 20 08:19:47 GMT 2023","4207","Tests","test_users","","","","test_verifyEditFormFieldsArePresent",""
"failed","Thu Apr 20 08:17:22 GMT 2023","Thu Apr 20 08:17:41 GMT 2023","18867","Tests","test_users","","","","test_UsersVerifyIfExportedCSVFileDataMatchesWithWebTableData",""
"passed","Thu Apr 20 08:14:53 GMT 2023","Thu Apr 20 08:14:55 GMT 2023","2041","Tests","test_Login","","","","test_SignInThroughValidCredentials",""
"passed","Thu Apr 20 08:15:02 GMT 2023","Thu Apr 20 08:15:03 GMT 2023","1490","Tests","test_Login","","","","test_SignInWithoutPassword",""
"failed","Thu Apr 20 08:21:20 GMT 2023","Thu Apr 20 08:21:34 GMT 2023","14617","Tests","test_users","","","","test_EditLastNameAndVerifyInTable",""
"failed","Thu Apr 20 08:13:02 GMT 2023","Thu Apr 20 08:13:20 GMT 2023","17767","Tests","test_users","","","","test_UsersCheckExportButtonDownloadsCSVFile",""
"failed","Thu Apr 20 08:20:33 GMT 2023","Thu Apr 20 08:20:47 GMT 2023","14375","Tests","test_users","","","","test_EditFirstNameAndVerifyInTable",""
"passed","Thu Apr 20 08:11:10 GMT 2023","Thu Apr 20 08:11:24 GMT 2023","14452","Tests","test_temprory_worker","","","","test_TemporaryWorkerDeleteFirst",""
"passed","Thu Apr 20 08:13:21 GMT 2023","Thu Apr 20 08:13:25 GMT 2023","3419","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckNecessaryButtonsClickAble",""
"passed","Thu Apr 20 08:14:58 GMT 2023","Thu Apr 20 08:14:59 GMT 2023","935","Tests","test_Login","","","","test_SignInWithoutCredentials",""
"passed","Thu Apr 20 08:19:31 GMT 2023","Thu Apr 20 08:19:42 GMT 2023","10897","Tests","test_users","","","","test_UserDeleteFirstAndVerify",""
"passed","Thu Apr 20 08:21:36 GMT 2023","Thu Apr 20 08:21:38 GMT 2023","2591","Tests","test_users","","","","test_AddAndVerifyErrors",""
"passed","Thu Apr 20 08:15:04 GMT 2023","Thu Apr 20 08:15:07 GMT 2023","2277","Tests","test_temprory_worker","","","","test_TemporaryWorkerScreen",""
"passed","Thu Apr 20 08:15:00 GMT 2023","Thu Apr 20 08:15:01 GMT 2023","827","Tests","test_Login","","","","test_SignInWithInvalidEmail",""
"passed","Thu Apr 20 08:14:56 GMT 2023","Thu Apr 20 08:14:57 GMT 2023","1374","Tests","test_Login","","","","test_SignInThroughInValidCredentials",""
"passed","Thu Apr 20 08:10:53 GMT 2023","Thu Apr 20 08:11:09 GMT 2023","16006","Tests","test_temprory_worker","","","","test_TemporaryWorkerDeleteLast",""
"failed","Thu Apr 20 08:14:31 GMT 2023","Thu Apr 20 08:14:52 GMT 2023","20852","Tests","test_temprory_worker","","","","test_TemporaryWorkerVerifyIfExportedCSVFileDataMatchesWithWebTableData",""
"passed","Thu Apr 20 08:13:26 GMT 2023","Thu Apr 20 08:13:28 GMT 2023","2719","Tests","test_users","","","","test_UserCheckNecessaryButtonsClickAble",""
"broken","Thu Apr 20 08:16:19 GMT 2023","Thu Apr 20 08:16:34 GMT 2023","14626","Tests","test_temprory_worker","","","","test_TemporaryWorkerAdd",""
