"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 20 05:13:57 GMT 2023","Thu Apr 20 05:14:03 GMT 2023","5891","Tests","test_users","","","","test_UserDeleteFirstAndVerify",""
"passed","Thu Apr 20 05:13:16 GMT 2023","Thu Apr 20 05:13:29 GMT 2023","13358","Tests","test_users","","","","test_UserDeleteLastAndVerify",""
"passed","Thu Apr 20 05:14:37 GMT 2023","Thu Apr 20 05:14:42 GMT 2023","4988","Tests","test_users","","","","test_verifyEditFormShowingChangesSavedSuccessWhenSubmittingFormWithoutChanges",""
"passed","Thu Apr 20 05:09:52 GMT 2023","Thu Apr 20 05:10:11 GMT 2023","18909","Tests","test_users","","","","test_UsersCheckExportButtonDownloadsCSVFile",""
"passed","Thu Apr 20 05:12:16 GMT 2023","Thu Apr 20 05:12:42 GMT 2023","26544","Tests","test_users","","","","test_UsersVerifyIfExportedCSVFileDataMatchesWithWebTableData",""
"passed","Thu Apr 20 05:10:15 GMT 2023","Thu Apr 20 05:10:35 GMT 2023","19495","Tests","test_temprory_worker","","","","test_TemporaryWorkerDeleteFirst",""
"passed","Thu Apr 20 05:10:12 GMT 2023","Thu Apr 20 05:10:15 GMT 2023","2642","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckNecessaryButtonsClickAble",""
"broken","Thu Apr 20 05:11:50 GMT 2023","Thu Apr 20 05:12:07 GMT 2023","17051","Tests","test_temprory_worker","","","","test_TemporaryWorkerAdd",""
"passed","Thu Apr 20 05:12:43 GMT 2023","Thu Apr 20 05:12:46 GMT 2023","2341","Tests","test_users","","","","test_UsersNavigateToUsersForApprovalPage",""
"passed","Thu Apr 20 05:10:20 GMT 2023","Thu Apr 20 05:10:25 GMT 2023","4342","Tests","test_users","","","","test_UserCheckNecessaryButtonsVisible",""
"passed","Thu Apr 20 05:09:52 GMT 2023","Thu Apr 20 05:10:14 GMT 2023","22062","Tests","test_temprory_worker","","","","test_TemporaryWorkerDeleteLast",""
"passed","Thu Apr 20 05:10:58 GMT 2023","Thu Apr 20 05:11:00 GMT 2023","1885","Tests","test_Login","","","","test_SignInThroughInValidCredentials",""
"passed","Thu Apr 20 05:11:04 GMT 2023","Thu Apr 20 05:11:05 GMT 2023","987","Tests","test_Login","","","","test_SignInWithInvalidEmail",""
"passed","Thu Apr 20 05:11:12 GMT 2023","Thu Apr 20 05:11:18 GMT 2023","5571","Tests","test_temprory_worker","","","","test_TemporaryWorkerMandatoryFields",""
"passed","Thu Apr 20 05:10:16 GMT 2023","Thu Apr 20 05:10:19 GMT 2023","3496","Tests","test_users","","","","test_UserCheckNecessaryButtonsClickAble",""
"passed","Thu Apr 20 05:11:01 GMT 2023","Thu Apr 20 05:11:03 GMT 2023","1284","Tests","test_Login","","","","test_SignInWithoutCredentials",""
"passed","Thu Apr 20 05:12:12 GMT 2023","Thu Apr 20 05:12:15 GMT 2023","2569","Tests","test_users","","","","test_UsersScreenNavigation",""
"passed","Thu Apr 20 05:11:08 GMT 2023","Thu Apr 20 05:11:11 GMT 2023","2685","Tests","test_temprory_worker","","","","test_TemporaryWorkerScreen",""
"passed","Thu Apr 20 05:12:08 GMT 2023","Thu Apr 20 05:12:11 GMT 2023","2729","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckNecessaryButtonsVisible",""
"passed","Thu Apr 20 05:11:06 GMT 2023","Thu Apr 20 05:11:07 GMT 2023","1728","Tests","test_Login","","","","test_SignInWithoutPassword",""
"passed","Thu Apr 20 05:14:04 GMT 2023","Thu Apr 20 05:14:09 GMT 2023","4975","Tests","test_users","","","","test_verifyEditFormFieldsArePresent",""
"passed","Thu Apr 20 05:10:36 GMT 2023","Thu Apr 20 05:10:57 GMT 2023","21571","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckExportButtonDownloadsCSVFile",""
