"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 20 04:37:45 GMT 2023","Thu Apr 20 04:38:02 GMT 2023","17072","Tests","test_temprory_worker","","","","test_TemporaryWorkerDeleteFirst",""
"passed","Thu Apr 20 04:40:42 GMT 2023","Thu Apr 20 04:40:56 GMT 2023","13699","Tests","test_users","","","","test_UserDeleteLastAndVerify",""
"passed","Thu Apr 20 04:37:31 GMT 2023","Thu Apr 20 04:37:35 GMT 2023","3197","Tests","test_users","","","","test_UserCheckNecessaryButtonsVisible",""
"passed","Thu Apr 20 04:37:26 GMT 2023","Thu Apr 20 04:37:30 GMT 2023","4601","Tests","test_users","","","","test_UserCheckNecessaryButtonsClickAble",""
"passed","Thu Apr 20 04:38:29 GMT 2023","Thu Apr 20 04:38:30 GMT 2023","1118","Tests","test_Login","","","","test_SignInWithoutCredentials",""
"passed","Thu Apr 20 04:38:33 GMT 2023","Thu Apr 20 04:38:35 GMT 2023","1920","Tests","test_Login","","","","test_SignInWithoutPassword",""
"passed","Thu Apr 20 04:37:21 GMT 2023","Thu Apr 20 04:37:25 GMT 2023","3037","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckNecessaryButtonsClickAble",""
"broken","Thu Apr 20 04:39:28 GMT 2023","Thu Apr 20 04:39:46 GMT 2023","17949","Tests","test_temprory_worker","","","","test_TemporaryWorkerAdd",""
"passed","Thu Apr 20 04:38:41 GMT 2023","Thu Apr 20 04:38:47 GMT 2023","5818","Tests","test_temprory_worker","","","","test_TemporaryWorkerMandatoryFields",""
"passed","Thu Apr 20 04:38:03 GMT 2023","Thu Apr 20 04:38:25 GMT 2023","21170","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckExportButtonDownloadsCSVFile",""
"passed","Thu Apr 20 04:41:26 GMT 2023","Thu Apr 20 04:41:32 GMT 2023","5744","Tests","test_users","","","","test_verifyEditFormShowingChangesSavedSuccessWhenSubmittingFormWithoutChanges",""
"passed","Thu Apr 20 04:41:20 GMT 2023","Thu Apr 20 04:41:25 GMT 2023","5529","Tests","test_users","","","","test_verifyEditFormFieldsArePresent",""
"passed","Thu Apr 20 04:39:47 GMT 2023","Thu Apr 20 04:39:50 GMT 2023","2964","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckNecessaryButtonsVisible",""
"passed","Thu Apr 20 04:40:23 GMT 2023","Thu Apr 20 04:40:26 GMT 2023","2593","Tests","test_users","","","","test_UsersNavigateToUsersForApprovalPage",""
"passed","Thu Apr 20 04:39:55 GMT 2023","Thu Apr 20 04:40:22 GMT 2023","27247","Tests","test_users","","","","test_UsersVerifyIfExportedCSVFileDataMatchesWithWebTableData",""
"passed","Thu Apr 20 04:37:22 GMT 2023","Thu Apr 20 04:37:44 GMT 2023","22257","Tests","test_temprory_worker","","","","test_TemporaryWorkerDeleteLast",""
"passed","Thu Apr 20 04:39:51 GMT 2023","Thu Apr 20 04:39:54 GMT 2023","2658","Tests","test_users","","","","test_UsersScreenNavigation",""
"passed","Thu Apr 20 04:36:58 GMT 2023","Thu Apr 20 04:37:20 GMT 2023","22258","Tests","test_users","","","","test_UsersCheckExportButtonDownloadsCSVFile",""
"passed","Thu Apr 20 04:38:31 GMT 2023","Thu Apr 20 04:38:32 GMT 2023","1121","Tests","test_Login","","","","test_SignInWithInvalidEmail",""
"broken","Thu Apr 20 04:41:13 GMT 2023","Thu Apr 20 04:41:18 GMT 2023","5716","Tests","test_users","","","","test_UserDeleteFirstAndVerify",""
"passed","Thu Apr 20 04:38:26 GMT 2023","Thu Apr 20 04:38:28 GMT 2023","2112","Tests","test_Login","","","","test_SignInThroughInValidCredentials",""
"passed","Thu Apr 20 04:38:36 GMT 2023","Thu Apr 20 04:38:40 GMT 2023","3164","Tests","test_temprory_worker","","","","test_TemporaryWorkerScreen",""
